route_name,http_methods,domain,has_test,test_file
autofinish-ekosistem-snapshot,GET,autofinish-ekosistem-snapshot,yes,autofinish-ekosistem-snapshot-route.test.ts
autofinish-ekosistem-zdravlje,GET,autofinish-ekosistem-zdravlje,yes,autofinish-ekosistem-zdravlje-route.test.ts
autofinish-endpoint-inventar,GET,autofinish-endpoint-inventar,yes,autofinish-endpoint-inventar-route.test.ts
autofinish-error-budget,GET,autofinish-error-budget,yes,autofinish-error-budget-route.test.ts
autofinish-export,GET,autofinish-export,yes,autofinish-export-route.test.ts
autofinish-feature-flags,GET,autofinish-feature-flags,yes,autofinish-feature-flags-route.test.ts
autofinish-full-report,GET,autofinish-full-report,yes,autofinish-full-report-route.test.ts
autofinish-github-billing-sumarno,GET,autofinish-github-billing-sumarno,yes,autofinish-github-billing-sumarno-route.test.ts
autofinish-glavni-endzin-dozvole,GET,autofinish-glavni-endzin-dozvole,yes,autofinish-glavni-endzin-dozvole-route.test.ts
autofinish-glavni-endzin-testovi,GET,autofinish-glavni-endzin-testovi,yes,autofinish-glavni-endzin-testovi-route.test.ts
autofinish-glavni-sistem-nabavka,GET,autofinish-glavni-sistem-nabavka,yes,autofinish-glavni-sistem-nabavka-route.test.ts
autofinish-health-score,GET,autofinish-health-score,yes,autofinish-health-score-route.test.ts
autofinish-health-stream,GET,autofinish-health-stream,yes,autofinish-health-stream-route.test.ts
autofinish-incident-log,GET,autofinish-incident-log,yes,autofinish-incident-log-route.test.ts
autofinish-industrija-igrice-integracija,GET,autofinish-industrija-igrice-integracija,yes,autofinish-industrija-igrice-integracija-route.test.ts
autofinish-infrastruktura,GET,autofinish-infrastruktura,yes,autofinish-infrastruktura-route.test.ts
autofinish-integracija,GET,autofinish-integracija,yes,autofinish-integracija-route.test.ts
autofinish-istrazivanje-ekosistem,GET,autofinish-istrazivanje-ekosistem,yes,autofinish-istrazivanje-ekosistem-route.test.ts
autofinish-iteracija-monitor,GET,autofinish-iteracija-monitor,yes,autofinish-iteracija-monitor-route.test.ts
autofinish-iteracija-opis,GET,autofinish-iteracija-opis,yes,autofinish-iteracija-opis-route.test.ts
autofinish-iteracija-raspon,GET,autofinish-iteracija-raspon,yes,autofinish-iteracija-raspon-route.test.ts
autofinish-kapacitet,GET,autofinish-kapacitet,yes,autofinish-kapacitet-route.test.ts
autofinish-kategorija-detalji,GET,autofinish-kategorija-detalji,yes,autofinish-kategorija-detalji-route.test.ts
autofinish-kategorije,GET,autofinish-kategorije,yes,autofinish-kategorije-route.test.ts
autofinish-kategorije-stats,GET,autofinish-kategorije-stats,yes,autofinish-kategorije-stats-route.test.ts
autofinish-kompletiranje-matrix,GET,autofinish-kompletiranje-matrix,yes,autofinish-kompletiranje-matrix-route.test.ts
autofinish-komunikacioni-log,GET,autofinish-komunikacioni-log,yes,autofinish-komunikacioni-log-route.test.ts
autofinish-konfiguracija,GET,autofinish-konfiguracija,yes,autofinish-konfiguracija-route.test.ts
autofinish-kontinuitet-monitor,GET,autofinish-kontinuitet-monitor,yes,autofinish-kontinuitet-monitor-route.test.ts
autofinish-kpi-scorecard,GET,autofinish-kpi-scorecard,yes,autofinish-kpi-scorecard-route.test.ts
autofinish-kvalitet,GET,autofinish-kvalitet,yes,autofinish-kvalitet-route.test.ts
autofinish-kvalitet-pregled,GET,autofinish-kvalitet-pregled,yes,autofinish-kvalitet-pregled-route.test.ts
autofinish-log,GET,autofinish-log,yes,autofinish-log-route.test.ts
autofinish-login-error-log,GET,autofinish-login-error-log,yes,autofinish-login-error-log-route.test.ts
autofinish-mega-merge-monitor,GET,autofinish-mega-merge-monitor,yes,autofinish-mega-merge-monitor-route.test.ts
autofinish-merge-konsolidacija,GET,autofinish-merge-konsolidacija,yes,autofinish-merge-konsolidacija-route.test.ts
autofinish-meta,GET,autofinish-meta,yes,autofinish-meta-route.test.ts
autofinish-metrike-ekosistem,GET,autofinish-metrike-ekosistem,yes,autofinish-metrike-ekosistem-route.test.ts
autofinish-milestone-projection,GET,autofinish-milestone-projection,yes,autofinish-milestone-projection-route.test.ts
autofinish-milestone/[id],GET,autofinish-milestone,yes,autofinish-milestone-[id]-route.test.ts
autofinish-modul-registar,GET,autofinish-modul-registar,yes,autofinish-modul-registar-route.test.ts
autofinish-napredak-tracker,GET,autofinish-napredak-tracker,yes,autofinish-napredak-tracker-route.test.ts
autofinish-next-steps,GET,autofinish-next-steps,yes,autofinish-next-steps-route.test.ts
autofinish-on-call,GET,autofinish-on-call,yes,autofinish-on-call-route.test.ts
autofinish-optimizacija,GET,autofinish-optimizacija,yes,autofinish-optimizacija-route.test.ts
autofinish-perf-latency,GET,autofinish-perf-latency,yes,autofinish-perf-latency-route.test.ts
autofinish-performanse,GET,autofinish-performanse,yes,autofinish-performanse-route.test.ts
autofinish-petlja,GET,autofinish-petlja,yes,autofinish-petlja-route.test.ts
autofinish-petlja-status,GET,autofinish-petlja-status,yes,autofinish-petlja-status-route.test.ts
autofinish-podsistemi,GET,autofinish-podsistemi,yes,autofinish-podsistemi-route.test.ts
autofinish-podsistemi-zdravlje,GET,autofinish-podsistemi-zdravlje,yes,autofinish-podsistemi-zdravlje-route.test.ts
autofinish-poslovni-tok,GET,autofinish-poslovni-tok,yes,autofinish-poslovni-tok-route.test.ts
autofinish-post-mortem,GET,autofinish-post-mortem,yes,autofinish-post-mortem-route.test.ts
autofinish-predikcija,GET,autofinish-predikcija,yes,autofinish-predikcija-route.test.ts
autofinish-preporuke-analitika,GET,autofinish-preporuke-analitika,yes,autofinish-preporuke-analitika-route.test.ts
autofinish-preporuke-kompletnost,GET,autofinish-preporuke-kompletnost,yes,autofinish-preporuke-kompletnost-route.test.ts
autofinish-progress,GET,autofinish-progress,yes,autofinish-progress-route.test.ts
autofinish-progress-changelog,GET,autofinish-progress-changelog,yes,autofinish-progress-changelog-route.test.ts
autofinish-protokol-verifikacija,GET,autofinish-protokol-verifikacija,yes,autofinish-protokol-verifikacija-route.test.ts
autofinish-rast-analitika,GET,autofinish-rast-analitika,yes,autofinish-rast-analitika-route.test.ts
autofinish-registracija-potvrda,GET,autofinish-registracija-potvrda,yes,autofinish-registracija-potvrda-route.test.ts
autofinish-release-readiness,GET,autofinish-release-readiness,yes,autofinish-release-readiness-route.test.ts
autofinish-resurs-analiza,GET,autofinish-resurs-analiza,yes,autofinish-resurs-analiza-route.test.ts
autofinish-resursi,GET,autofinish-resursi,yes,autofinish-resursi-route.test.ts
autofinish-retrospektiva,GET,autofinish-retrospektiva,yes,autofinish-retrospektiva-route.test.ts
autofinish-rizici,GET,autofinish-rizici,yes,autofinish-rizici-route.test.ts
autofinish-roadmap,GET,autofinish-roadmap,yes,autofinish-roadmap-route.test.ts
autofinish-runbook,GET,autofinish-runbook,yes,autofinish-runbook-route.test.ts
autofinish-security-audit,GET,autofinish-security-audit,yes,autofinish-security-audit-route.test.ts
autofinish-seo-kompletnost,GET,autofinish-seo-kompletnost,yes,autofinish-seo-kompletnost-route.test.ts
autofinish-seo-kompletnost-status,GET,autofinish-seo-kompletnost-status,yes,autofinish-seo-kompletnost-status-route.test.ts
autofinish-servis-registar,GET,autofinish-servis-registar,yes,autofinish-servis-registar-route.test.ts
autofinish-sigurnost,GET,autofinish-sigurnost,yes,autofinish-sigurnost-route.test.ts
autofinish-sinhronizacija,GET,autofinish-sinhronizacija,yes,autofinish-sinhronizacija-route.test.ts
autofinish-sinhronizacija-ruta,GET,autofinish-sinhronizacija-ruta,yes,autofinish-sinhronizacija-ruta-route.test.ts
autofinish-sistem-planovi,GET,autofinish-sistem-planovi,yes,autofinish-sistem-planovi-route.test.ts
autofinish-sistem-revizija,GET,autofinish-sistem-revizija,yes,autofinish-sistem-revizija-route.test.ts
autofinish-sla-monitor,GET,autofinish-sla-monitor,yes,autofinish-sla-monitor-route.test.ts
autofinish-spaja-pro-mozak-pregled,GET,autofinish-spaja-pro-mozak-pregled,yes,autofinish-spaja-pro-mozak-pregled-route.test.ts
autofinish-srbija-licencni-report,GET,autofinish-srbija-licencni-report,yes,autofinish-srbija-licencni-report-route.test.ts
autofinish-stabilnost,GET,autofinish-stabilnost,yes,autofinish-stabilnost-route.test.ts
autofinish-stabilnost-pregled,GET,autofinish-stabilnost-pregled,yes,autofinish-stabilnost-pregled-route.test.ts
autofinish-statistika,GET,autofinish-statistika,yes,autofinish-statistika-route.test.ts
autofinish-status-extended,GET,autofinish-status-extended,yes,autofinish-status-extended-route.test.ts
autofinish-summary,GET,autofinish-summary,yes,autofinish-summary-route.test.ts
autofinish-svega,GET|POST,autofinish-svega,yes,autofinish-svega-route.test.ts
autofinish-system-report,GET,autofinish-system-report,yes,autofinish-system-report-route.test.ts
autofinish-tag-system,GET,autofinish-tag-system,yes,autofinish-tag-system-route.test.ts
autofinish-timeline,GET,autofinish-timeline,yes,autofinish-timeline-route.test.ts
autofinish-top-iteracije,GET,autofinish-top-iteracije,yes,autofinish-top-iteracije-route.test.ts
autofinish-trend,GET,autofinish-trend,yes,autofinish-trend-route.test.ts
autofinish-trend-kategorije,GET,autofinish-trend-kategorije,yes,autofinish-trend-kategorije-route.test.ts
autofinish-trigger,GET|POST,autofinish-trigger,yes,autofinish-trigger-route.test.ts
autofinish-validacija,GET,autofinish-validacija,yes,autofinish-validacija-route.test.ts
autofinish-velocity,GET,autofinish-velocity,yes,autofinish-velocity-route.test.ts
autofinish-verzija-integritet,GET,autofinish-verzija-integritet,yes,autofinish-verzija-integritet-route.test.ts
autofinish-verzija-iteracije,GET,autofinish-verzija-iteracije,yes,autofinish-verzija-iteracije-route.test.ts
autofinish-verzije,GET,autofinish-verzije,yes,autofinish-verzije-route.test.ts
autofinish-verzije-diff,GET,autofinish-verzije-diff,yes,autofinish-verzije-diff-route.test.ts
autofinish-vizuelni-galerija-monitor,GET,autofinish-vizuelni-galerija-monitor,yes,autofinish-vizuelni-galerija-monitor-route.test.ts
autofinish-workflow-orchestracija,GET,autofinish-workflow-orchestracija,yes,autofinish-workflow-orchestracija-route.test.ts
autofinish-zdravlje,GET,autofinish-zdravlje,yes,autofinish-zdravlje-route.test.ts
b2b-procurement,GET|PATCH|POST,b2b-procurement,yes,b2b-procurement-route.test.ts
b2b-procurement/checklista,GET,b2b-procurement,yes,b2b-procurement-checklista-route.test.ts
banka,GET,banka,yes,banka-route.test.ts
banka-kontakt-drustvene-mreze,GET,banka-kontakt-drustvene-mreze,yes,banka-kontakt-drustvene-mreze-route.test.ts
banka-omega-ai-tehnologija,GET,banka-omega-ai-tehnologija,yes,banka-omega-ai-tehnologija-route.test.ts
banka-partneri,GET,banka-partneri,yes,banka-partneri-route.test.ts
banka-smederevo-ekspanzija,GET,banka-smederevo-ekspanzija,yes,banka-smederevo-ekspanzija-route.test.ts
banka-transfer-dugovi,GET,banka-transfer-dugovi,yes,banka-transfer-dugovi-route.test.ts
bar-kod,GET,bar-kod,yes,bar-kod-route.test.ts
billing-churn,GET,billing-churn,yes,billing-churn-route.test.ts
billing-engine-matrix,GET,billing-engine-matrix,yes,billing-engine-matrix-route.test.ts
billing-health,GET,billing-health,yes,billing-health-route.test.ts
billing-integrity-check,POST,billing-integrity-check,yes,billing-integrity-check-route.test.ts
billing-orchestration-status,GET,billing-orchestration-status,yes,billing-orchestration-status-route.test.ts
billing-plan-sync,POST,billing-plan-sync,yes,billing-plan-sync-route.test.ts
billing-reconcile-all,POST,billing-reconcile-all,yes,billing-reconcile-all-route.test.ts
billing-runbook,GET,billing-runbook,yes,billing-runbook-route.test.ts
billing-upgrade-company-request,POST,billing-upgrade-company-request,yes,billing-upgrade-company-request-route.test.ts
blockchain-transakcije,GET,blockchain-transakcije,yes,blockchain-transakcije-route.test.ts
brouvzer-deploy,GET|POST,brouvzer-deploy,yes,brouvzer-deploy-route.test.ts
brouvzer-inkognito-status,GET,brouvzer-inkognito-status,yes,brouvzer-inkognito-status-route.test.ts
brouvzer-tab-menadzer-status,GET,brouvzer-tab-menadzer-status,yes,brouvzer-tab-menadzer-status-route.test.ts
call-centar,GET,call-centar,yes,call-centar-route.test.ts
call-centar/licenca,POST,call-centar,yes,call-centar-licenca-route.test.ts
call-centar/paketi,GET,call-centar,yes,call-centar-paketi-route.test.ts
changelog,GET,changelog,yes,changelog-route.test.ts
claude-ai-stream,POST,claude-ai-stream,yes,claude-ai-stream-route.test.ts
cron-status,GET,cron-status,yes,cron-status-route.test.ts
cron/ekstremno-procesuiranje-svega,GET,cron,yes,cron-ekstremno-procesuiranje-svega-route.test.ts
cron/evolucija,GET,cron,yes,cron-evolucija-route.test.ts
cron/protokoli-verifikacija,GET,cron,yes,cron-protokoli-verifikacija-route.test.ts
cron/zdravlje,GET,cron,yes,cron-zdravlje-route.test.ts
deploy-diagnostics,GET,deploy-diagnostics,yes,deploy-diagnostics-route.test.ts
deploy-pregled,GET,deploy-pregled,yes,deploy-pregled-route.test.ts
deploy-status,GET,deploy-status,yes,deploy-status-route.test.ts
digatalna-eureka,GET,digatalna-eureka,yes,digatalna-eureka-route.test.ts
digitalna-industrija-beneficije,GET,digitalna-industrija-beneficije,yes,digitalna-industrija-beneficije-route.test.ts
digitalna-industrija-compliance-rizik,GET,digitalna-industrija-compliance-rizik,yes,digitalna-industrija-compliance-rizik-route.test.ts
digitalna-industrija-devizni-odlivi,GET,digitalna-industrija-devizni-odlivi,yes,digitalna-industrija-devizni-odlivi-route.test.ts
digitalna-industrija-devizni-prilivi,GET,digitalna-industrija-devizni-prilivi,yes,digitalna-industrija-devizni-prilivi-route.test.ts
digitalna-industrija-devizni-saldo,GET,digitalna-industrija-devizni-saldo,yes,digitalna-industrija-devizni-saldo-route.test.ts
digitalna-industrija-esg-rizik,GET,digitalna-industrija-esg-rizik,yes,digitalna-industrija-esg-rizik-route.test.ts
digitalna-industrija-hedzing,GET,digitalna-industrija-hedzing,yes,digitalna-industrija-hedzing-route.test.ts
digitalna-industrija-izvoz-faktura,GET,digitalna-industrija-izvoz-faktura,yes,digitalna-industrija-izvoz-faktura-route.test.ts
digitalna-industrija-kamatni-rizik,GET,digitalna-industrija-kamatni-rizik,yes,digitalna-industrija-kamatni-rizik-route.test.ts
digitalna-industrija-kreditni-rizik,GET,digitalna-industrija-kreditni-rizik,yes,digitalna-industrija-kreditni-rizik-route.test.ts
digitalna-industrija-kursna-lista,GET,digitalna-industrija-kursna-lista,yes,digitalna-industrija-kursna-lista-route.test.ts
digitalna-industrija-kursne-razlike,GET,digitalna-industrija-kursne-razlike,yes,digitalna-industrija-kursne-razlike-route.test.ts
digitalna-industrija-licencni-portfolio,GET,digitalna-industrija-licencni-portfolio,yes,digitalna-industrija-licencni-portfolio-route.test.ts
digitalna-industrija-licencni-procurement-queue,GET,digitalna-industrija-licencni-procurement-queue,yes,digitalna-industrija-licencni-procurement-queue-route.test.ts
digitalna-industrija-licencni-vendor-status,GET,digitalna-industrija-licencni-vendor-status,yes,digitalna-industrija-licencni-vendor-status-route.test.ts
digitalna-industrija-likvidnosni-rizik,GET,digitalna-industrija-likvidnosni-rizik,yes,digitalna-industrija-likvidnosni-rizik-route.test.ts
digitalna-industrija-nagrade,GET,digitalna-industrija-nagrade,yes,digitalna-industrija-nagrade-route.test.ts
digitalna-industrija-operativni-rizik,GET,digitalna-industrija-operativni-rizik,yes,digitalna-industrija-operativni-rizik-route.test.ts
digitalna-industrija-pib-mb,GET,digitalna-industrija-pib-mb,yes,digitalna-industrija-pib-mb-route.test.ts
digitalna-industrija-plate,GET,digitalna-industrija-plate,yes,digitalna-industrija-plate-route.test.ts
digitalna-industrija-poreski-rizik,GET,digitalna-industrija-poreski-rizik,yes,digitalna-industrija-poreski-rizik-route.test.ts
digitalna-industrija-pozicije,GET,digitalna-industrija-pozicije,yes,digitalna-industrija-pozicije-route.test.ts
digitalna-industrija-pravni-rizik,GET,digitalna-industrija-pravni-rizik,yes,digitalna-industrija-pravni-rizik-route.test.ts
digitalna-industrija-regulatorni-rokovi,GET,digitalna-industrija-regulatorni-rokovi,yes,digitalna-industrija-regulatorni-rokovi-route.test.ts
digitalna-industrija-reputacioni-rizik,GET,digitalna-industrija-reputacioni-rizik,yes,digitalna-industrija-reputacioni-rizik-route.test.ts
digitalna-industrija-sajber-rizik,GET,digitalna-industrija-sajber-rizik,yes,digitalna-industrija-sajber-rizik-route.test.ts
digitalna-industrija-sifra-delatnosti,GET,digitalna-industrija-sifra-delatnosti,yes,digitalna-industrija-sifra-delatnosti-route.test.ts
digitalna-industrija-strateski-rizik,GET,digitalna-industrija-strateski-rizik,yes,digitalna-industrija-strateski-rizik-route.test.ts
digitalna-industrija-valutni-rizik,GET,digitalna-industrija-valutni-rizik,yes,digitalna-industrija-valutni-rizik-route.test.ts
digitalni-vorteks,GET,digitalni-vorteks,yes,digitalni-vorteks-route.test.ts
dijagnostika-ai-preporuke,GET,dijagnostika-ai-preporuke,yes,dijagnostika-ai-preporuke-route.test.ts
dijagnostika-branch-cleanup,GET,dijagnostika-branch-cleanup,yes,dijagnostika-branch-cleanup-route.test.ts
dijagnostika-demo-nalog,GET,dijagnostika-demo-nalog,yes,dijagnostika-demo-nalog-route.test.ts
dijagnostika-glavni-endzin-monitoring,GET,dijagnostika-glavni-endzin-monitoring,yes,dijagnostika-glavni-endzin-monitoring-route.test.ts
dijagnostika-konstante-validacija,GET,dijagnostika-konstante-validacija,yes,dijagnostika-konstante-validacija-route.test.ts
dijagnostika-mega-merge,GET,dijagnostika-mega-merge,yes,dijagnostika-mega-merge-route.test.ts
dijagnostika-workflow-orchestracija,GET,dijagnostika-workflow-orchestracija,yes,dijagnostika-workflow-orchestracija-route.test.ts
dimenzije,GET,dimenzije,yes,dimenzije-route.test.ts
dimenzije-mapa,GET,dimenzije-mapa,yes,dimenzije-mapa-route.test.ts
dimenzije-pregled,GET,dimenzije-pregled,yes,dimenzije-pregled-route.test.ts
dimenzije-status,GET,dimenzije-status,yes,dimenzije-status-route.test.ts
dispatch-pregled,GET,dispatch-pregled,yes,dispatch-pregled-route.test.ts
dnevna-raspodela-zarade,GET,dnevna-raspodela-zarade,yes,dnevna-raspodela-zarade-route.test.ts
dnevna-raspodela-zarade-pregled,GET,dnevna-raspodela-zarade-pregled,yes,dnevna-raspodela-zarade-pregled-route.test.ts
ecosystem-graph,GET,ecosystem-graph,yes,ecosystem-graph-route.test.ts
ekosistem,GET,ekosistem,yes,ekosistem-route.test.ts
ekosistem-analitika,GET,ekosistem-analitika,yes,ekosistem-analitika-route.test.ts
ekosistem-indeks,GET,ekosistem-indeks,yes,ekosistem-indeks-route.test.ts
ekosistem-status,GET,ekosistem-status,yes,ekosistem-status-route.test.ts
ekosistem-url-registar,GET,ekosistem-url-registar,yes,ekosistem-url-registar-route.test.ts
ekosistem-zdravlje,GET,ekosistem-zdravlje,yes,ekosistem-zdravlje-route.test.ts
eksosistzdacija,GET,eksosistzdacija,yes,eksosistzdacija-route.test.ts
eksponat-glavnog-jezgra,GET,eksponat-glavnog-jezgra,yes,eksponat-glavnog-jezgra-route.test.ts
